2026-07-17 17:40:03,740 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-07-17 17:44:31,687 - 105 - ERROR - logging_config - Player data is not available now or having troulble to load this data | Error : I/O operation on closed file.
2026-08-08 11:53:07,071 | api.py | get_server_data | Line 58 | ERROR | Latest data is currently unavailable, Displaying data from July 17, 2026 instead.
2026-08-18 14:35:13,677 | api.py | save_server_data | Line 104 | ERROR | cannot access local variable 'filename' where it is not associated with a value
2026-08-18 14:35:13,946 | api.py | save_server_data | Line 104 | ERROR | cannot access local variable 'filename' where it is not associated with a value
2026-09-22 12:39:07,815 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-22 12:59:46,045 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:16:05,834 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:17:41,198 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:18:38,352 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:18:38,356 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:18:38,359 | api.py | get_server_data | Line 54 | ERROR | Latest data is currently unavailable, Displaying data from July 19, 2026 instead.
2026-09-24 07:18:38,390 | project.py | get_team_name | Line 74 | ERROR | 
2026-09-24 07:18:38,392 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:18:38,393 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:18:38,393 | project.py | get_group_name | Line 113 | ERROR | An error occurred while parsing API data: 
2026-09-24 07:18:38,803 | project.py | filter_teams_by_rank | Line 206 | ERROR | 'Position'
2026-09-24 07:18:39,768 | project.py | format_knockout_bracket | Line 291 | ERROR | 'Stage'
2026-09-24 07:18:39,768 | project.py | format_knockout_bracket | Line 291 | ERROR | slice(None, None, None)
2026-09-24 07:18:39,814 | project.py | display_stage_results | Line 333 | ERROR | list indices must be integers or slices, not str
2026-09-24 07:18:39,815 | project.py | display_stage_results | Line 333 | ERROR | 'Stage'
2026-09-24 07:18:39,953 | project.py | process_player_stats | Line 407 | ERROR | 'gk_games' Something went wronge try again
